STAFF,Profit Center,Employee Position,Employee Location,People Group,Employee Category,Current Status,Total Hours,Total Available Hours,Total Work Hours,Total Leave Hours,Total Training Hours,Total BD Hours,Total NC Hours,Total Utilization%,No.of Working Years
1,PC - 4,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,1866.0,102.5,172.0,50.0,195.0,1599.5,0.05493033226152197,11.247321984708789
1,PC - 3,Level A1,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1834.5,876.0,204.0,49.5,192.0,807.5,0.47751430907604253,11.162446867492145
1,PC - 3,Level A1,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1818.5,1673.0,260.0,9.5,4.0,161.5,0.9199890019246632,11.000910354079824
1,PC - 3,Level A1,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1840.5,789.0,227.0,20.5,8.0,1071.5,0.4286878565607172,11.000910354079824
1,PC - 3,Level A1,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1910.0,1111.5,144.0,34.0,96.0,722.5,0.5819371727748691,10.666885699227226
1,PC - 1,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,1893.0,997.0,168.0,27.0,8.0,1045.0,0.5266772319070259,10.332861044374628
1,PC - 3,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1865.5,448.0,216.0,6.5,910.0,619.5,0.2401500938086304,9.916699179312374
1,PC - 3,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1959.0,460.0,120.0,9.0,274.0,1238.0,0.23481368044920878,9.916699179312374
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1880.0,687.5,176.0,32.0,0.0,1488.0,0.36569148936170215,9.83182406209573
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1747.0,885.0,312.0,29.0,6.0,864.0,0.5065827132226675,9.83182406209573
1,PC - 1,Level A1,Location 3,Support Staff,Confirmed Staff,0,2088,1856.0,0.0,232.0,0.0,0.0,1856.0,0.0,9.330787079816835
1,PC - 3,Level 6,Other Loc,Client Service Staff,Confirmed Staff,0,2088,795.0,317.0,1288.0,5.0,0.0,478.0,0.3987421383647799,9.330787079816835
1,PC - 4,Level A1,Location 7,Client Service Staff,Resigned,1,848,768.0,688.0,80.0,0.0,0.0,80.0,0.8958333333333334,7.5812645023511775
1,PC - 2,Level 5,Location 7,Client Service Staff,Confirmed Staff,0,2088,1974.0,836.0,72.0,42.0,112.0,1103.0,0.42350557244174264,8.832488004544926
1,PC - 3,Level 5,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1846.0,1211.0,200.0,42.0,16.0,644.0,0.6560130010834236,8.75035079433527
1,PC - 3,Level A1,Location 1,Support Staff,Confirmed Staff,0,2088,1772.5,0.0,312.0,3.5,0.0,2458.5,0.0,8.75035079433527
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1864.0,1303.43,224.0,0.0,0.0,1062.5,0.6992650214592275,8.75035079433527
1,PC - 4,Level A1,Location 7,Client Service Staff,Confirmed Staff,0,2088,1741.0,979.0,252.0,95.0,0.0,834.0,0.5623205054566341,8.75035079433527
1,PC - 3,Level 6,Location 1,Client Service Staff,Resigned,1,544,352.0,336.0,192.0,0.0,0.0,40.0,0.9545454545454546,7.000828216869614
1,PC - 3,Level 5,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1906.5,1569.0,152.0,29.5,134.0,251.5,0.8229740361919748,8.580600559901983
1,PC - 1,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,1909.0,740.0,162.0,17.0,1178.0,0.0,0.38763750654793083,8.580600559901983
1,PC - 4,Level 7,Location 1,Client Service Staff,Resigned,0,2088,1824.0,1912.0,256.0,8.0,0.0,0.0,1.0482456140350878,8.161700787832741
1,PC - 1,Level 6,Location 3,Client Service Staff,Confirmed Staff,0,480,440.0,180.0,40.0,0.0,0.0,260.0,0.4090909090909091,8.161700787832741
1,PC - 2,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1889.0,808.0,312.0,111.0,233.0,598.0,0.4277395447326628,8.085039391637062
1,PC - 2,Level A1,Location 7,Client Service Staff,Confirmed Staff,0,2088,1949.5,533.0,128.0,10.5,750.5,729.0,0.2734034367786612,8.000164274420419
1,PC - 2,Level 5,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1954.0,755.0,128.0,6.0,0.0,1217.0,0.38638689866939613,7.918027064210764
1,PC - 4,Level 5,Location 7,Client Service Staff,Confirmed Staff,0,2088,1784.0,523.0,180.0,124.0,120.0,1285.0,0.29316143497757846,7.83315194699412
1,PC - 3,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1926.0,1944.0,152.0,10.0,0.0,8.0,1.0093457943925233,7.83315194699412
1,PC - 3,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1918.0,96.0,160.0,10.0,0.0,1822.0,0.05005213764337852,7.83315194699412
1,PC - 1,Level 7,Location 3,Client Service Staff,Resigned,1,88,88.0,0.0,0.0,0.0,0.0,0.0,0.0,6.58740425881435
1,PC - 2,Level 5,Location 7,Client Service Staff,Resigned,1,1520,1362.0,865.0,112.0,46.0,472.0,84.0,0.6350954478707783,6.505267048604694
1,PC - 4,Level 6,Location 3,Client Service Staff,Resigned,1,1008,792.0,440.0,216.0,0.0,0.0,352.0,0.5555555555555556,6.2533796039617515
1,PC - 3,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1852.0,1769.0,224.0,12.0,0.0,306.0,0.9551835853131749,7.83315194699412
1,PC - 3,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1320.0,607.5,744.0,24.0,0.0,728.5,0.4602272727272727,7.5812645023511775
1,PC - 2,Level 5,Location 7,Client Service Staff,Confirmed Staff,0,2088,1150.0,447.0,876.0,62.0,529.0,238.0,0.38869565217391305,7.5812645023511775
1,PC - 2,Level 5,Location 7,Client Service Staff,Confirmed Staff,0,2088,1765.5,1362.5,220.0,102.5,0.0,877.5,0.7717360521098839,7.5812645023511775
1,PC - 4,Level A1,Location 7,Client Service Staff,Confirmed Staff,0,2088,2020.0,268.0,32.0,36.0,0.0,1768.0,0.13267326732673268,7.499127292141522
1,PC - 2,Level A1,Location 7,Client Service Staff,Confirmed Staff,0,2088,1936.0,1162.94,120.0,32.0,507.5,342.56,0.6006921487603306,7.499127292141522
1,PC - 3,Level 6,Other Loc,Client Service Staff,others,0,1056,816.0,492.0,224.0,16.0,0.0,372.0,0.6029411764705882,7.414252174924878
1,PC - 3,Level A1,Location 1,Support Staff,Confirmed Staff,0,2088,1755.0,0.0,332.0,1.0,0.0,1771.0,0.0,7.332114964715223
1,PC - 2,Level A1,Location 7,Support Staff,Confirmed Staff,0,2088,1835.5,0.0,244.0,8.5,0.0,1860.5,0.0,7.332114964715223
1,PC - 3,Level 7,Location 1,Client Service Staff,Resigned,1,896,757.0,392.0,136.0,3.0,0.0,357.0,0.5178335535006605,5.8344798318925095
1,PC - 3,Level 6,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1830.0,1644.0,248.0,10.0,0.0,266.0,0.898360655737705,7.1623647302819355
1,PC - 4,Level 5,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1854.0,1477.0,200.0,34.0,0.0,390.0,0.796655879180151,7.1623647302819355
1,PC - 2,Level 5,Location 7,Client Service Staff,Confirmed Staff,0,2088,1826.0,1605.0,168.0,94.0,34.0,538.0,0.8789704271631983,7.1623647302819355
1,PC - 4,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1800.0,732.0,264.0,24.0,272.0,820.0,0.4066666666666667,7.1623647302819355
1,PC - 2,Level 5,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1748.0,939.0,302.0,38.0,272.0,555.0,0.5371853546910755,7.085703334086258
1,PC - 2,Level 5,Location 7,Client Service Staff,Confirmed Staff,0,2088,1779.75,1528.0,296.0,12.25,0.0,265.0,0.8585475488130355,7.085703334086258
1,PC - 3,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1976.0,162.0,112.0,0.0,1814.0,0.0,0.08198380566801619,7.000828216869614
1,PC - 3,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1808.0,1198.0,168.0,112.0,16.0,728.0,0.6626106194690266,7.000828216869614
1,PC - 1,Level 6,Location 3,Client Service Staff,Resigned,1,272,224.0,168.0,48.0,0.0,0.0,72.0,0.75,5.169168429194302
1,PC - 4,Level 6,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1862.0,1903.5,208.0,18.0,0.0,97.0,1.0222878625134264,6.918691006659959
1,PC - 2,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1684.0,862.5,336.0,68.0,121.0,700.5,0.5121733966745843,6.918691006659959
1,PC - 4,Level 5,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1838.5,531.0,248.0,1.5,24.0,1323.0,0.28882240957302147,6.918691006659959
1,PC - 2,Level 7,Location 7,Client Service Staff,Resigned,1,768,709.0,629.0,40.0,19.0,0.0,96.0,0.8871650211565585,5.254043546410946
1,PC - 2,Level 7,Location 7,Client Service Staff,Confirmed Staff,0,2088,1780.0,1551.0,288.0,20.0,0.0,290.0,0.8713483146067416,6.833815889443315
1,PC - 1,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,777.0,148.0,1304.0,7.0,228.0,409.0,0.19047619047619047,6.833815889443315
1,PC - 3,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1838.0,1528.0,248.0,2.0,2.0,412.0,0.8313384113166485,6.833815889443315
1,PC - 4,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,2019.0,2413.0,56.0,13.0,0.0,0.0,1.1951461119366023,6.75167867923366
1,PC - 2,Level 5,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1815.5,1261.4,220.0,52.5,964.5,213.0,0.6947948223629854,6.75167867923366
1,PC - 1,Level 6,Location 3,Client Service Staff,Confirmed Staff,0,2088,988.0,856.0,1100.0,0.0,0.0,136.0,0.8663967611336032,6.75167867923366
1,PC - 1,Level 7,Location 3,Client Service Staff,Resigned,1,48,48.0,8.0,0.0,0.0,0.0,40.0,0.16666666666666666,4.835143774341704
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1741.0,1805.0,344.0,3.0,0.0,32.0,1.0367604824813326,6.75167867923366
1,PC - 3,Level 6,Other Loc,Client Service Staff,Resigned,1,1904,1579.0,1430.0,304.0,21.0,0.0,181.0,0.9056364787840405,5.66746750446621
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1839.5,1551.5,248.0,0.5,0.0,296.0,0.8434357162272357,6.75167867923366
1,PC - 3,Level 7,Location 1,Client Service Staff,Resigned,1,88,88.0,64.0,0.0,0.0,0.0,24.0,0.7272727272727273,4.835143774341704
1,PC - 1,Level 5,Location 3,Client Service Staff,Resigned,1,2088,600.0,0.0,1488.0,0.0,600.0,0.0,0.0,5.8344798318925095
1,PC - 2,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1763.0,1261.0,260.0,65.0,148.0,411.0,0.7152580828133863,6.75167867923366
1,PC - 2,Level 7,Location 7,Client Service Staff,Resigned,1,1848,1752.0,1689.4,96.0,0.0,0.0,288.0,0.9642694063926941,5.582592387249567
1,PC - 4,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,483.0,170.0,1576.0,29.0,60.0,258.0,0.35196687370600416,6.581928444800372
1,PC - 1,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,1901.0,1502.0,184.0,3.0,0.0,415.0,0.7901104681746449,6.581928444800372
1,PC - 2,Level 5,Location 7,Client Service Staff,Confirmed Staff,0,2088,1876.0,1991.0,184.0,28.0,0.0,0.0,1.0613006396588487,6.581928444800372
1,PC - 2,Level 6,Location 7,Client Service Staff,others,0,1200,1080.0,904.0,120.0,0.0,0.0,184.0,0.837037037037037,6.499791234590717
1,PC - 3,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1814.5,1640.0,244.0,29.5,0.0,291.5,0.9038302562689446,6.499791234590717
1,PC - 2,Level 6,Other Loc,Client Service Staff,Resigned,1,976,850.0,432.0,96.0,30.0,30.0,434.0,0.508235294117647,5.002156101768003
1,PC - 3,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1853.5,1893.0,192.0,42.5,0.0,11.5,1.0213110331804693,6.499791234590717
1,PC - 2,Level A1,Location 7,Client Service Staff,Confirmed Staff,0,2088,1726.0,1303.0,304.0,58.0,0.0,531.5,0.7549246813441484,6.499791234590717
1,PC - 4,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1900.0,630.0,168.0,20.0,0.0,1286.0,0.33157894736842103,6.3327789071644185
1,PC - 3,Level 6,Location 1,Client Service Staff,Resigned,1,1368,1316.5,1224.0,40.0,11.5,0.0,299.5,0.9297379415115837,5.002156101768003
1,PC - 4,Level A1,Location 3,Client Service Staff,Confirmed Staff,0,2088,2008.0,364.0,72.0,8.0,0.0,1644.0,0.18127490039840638,6.3327789071644185
1,PC - 3,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1805.0,735.5,256.0,27.0,0.0,1070.5,0.4074792243767313,6.247903789947775
1,PC - 2,Level A1,Location 7,Client Service Staff,Confirmed Staff,0,2088,1893.0,568.0,164.0,31.0,707.0,722.0,0.3000528262017961,6.163028672731131
1,PC - 4,Level 6,Location 7,Client Service Staff,Resigned,1,1016,828.0,604.0,128.0,60.0,0.0,308.0,0.7294685990338164,4.665393539908417
1,PC - 4,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1918.0,188.0,170.0,0.0,1789.0,0.0,0.09801876955161627,6.163028672731131
1,PC - 4,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1857.5,1464.0,224.0,6.5,0.0,552.0,0.7881561238223419,6.163028672731131
1,PC - 3,Level 5,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1929.5,911.0,152.0,6.5,282.0,847.5,0.472143042238922,6.083629369528464
1,PC - 3,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1818.0,1778.0,264.0,6.0,0.0,152.0,0.977997799779978,5.99875425231182
1,PC - 2,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1948.0,1456.0,136.0,4.0,0.0,492.0,0.7474332648870636,5.916617042102165
1,PC - 2,Level 6,Location 7,Client Service Staff,Resigned,1,1176,1073.0,1034.0,76.0,27.0,0.0,87.0,0.9636533084808947,4.503857026496095
1,PC - 4,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1880.0,1644.0,192.0,16.0,0.0,268.5,0.874468085106383,5.916617042102165
1,PC - 3,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1950.0,403.0,120.0,18.0,214.0,1371.0,0.20666666666666667,5.916617042102165
1,PC - 3,Level 6,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1798.0,1793.0,252.0,38.0,0.0,40.0,0.9972191323692993,5.916617042102165
1,PC - 2,Level 6,Location 7,Client Service Staff,Resigned,1,2072,1764.0,1527.0,232.0,76.0,40.0,240.0,0.8656462585034014,4.917280984551359
1,PC - 4,Level 6,Location 1,Client Service Staff,Resigned,1,768,768.0,248.0,0.0,0.0,0.0,520.0,0.3229166666666667,4.251969581853152
1,PC - 3,Level 7,Location 1,Client Service Staff,Confirmed Staff,0,2088,1773.75,1719.75,240.0,74.25,0.0,217.0,0.9695560253699789,5.831741924885521
1,PC - 3,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1950.0,1016.0,136.0,2.0,0.0,934.0,0.521025641025641,5.831741924885521
1,PC - 2,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1688.5,1560.5,304.0,95.5,0.0,241.0,0.9241930707728754,5.831741924885521
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1844.5,1735.0,232.0,11.5,0.0,157.0,0.9406343182434264,5.831741924885521
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1960.0,870.0,128.0,0.0,140.0,950.0,0.44387755102040816,5.831741924885521
1,PC - 3,Level 6,Location 1,Client Service Staff,Resigned,1,1288,1272.0,600.0,8.0,8.0,32.0,648.0,0.4716981132075472,4.418981909279451
1,PC - 4,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1960.0,1242.0,128.0,0.0,0.0,718.0,0.6336734693877552,5.749604714675866
1,PC - 3,Level 6,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1769.5,1390.0,300.0,18.5,39.0,367.0,0.7855326363379486,5.749604714675866
1,PC - 3,Level 7,Location 1,Client Service Staff,Confirmed Staff,0,2088,1195.5,976.0,888.0,4.5,0.0,227.5,0.8163948138854036,5.749604714675866
1,PC - 2,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1840.0,1720.0,240.0,8.0,0.0,136.0,0.9347826086956522,5.664729597459222
1,PC - 3,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1933.0,409.0,144.0,11.0,878.5,687.5,0.2115882048629074,5.664729597459222
1,PC - 4,Level 6,Location 3,Client Service Staff,Confirmed Staff,0,2088,1792.0,1288.0,296.0,0.0,0.0,496.0,0.71875,5.664729597459222
1,PC - 4,Level 6,Location 3,Client Service Staff,Confirmed Staff,0,2088,1872.0,1555.0,216.0,0.0,40.0,277.0,0.8306623931623932,5.664729597459222
1,PC - 3,Level 7,Location 1,Client Service Staff,Confirmed Staff,0,2088,1872.0,1784.0,200.0,16.0,0.0,160.0,0.9529914529914529,5.664729597459222
1,PC - 2,Level 7,Location 7,Client Service Staff,Resigned,1,1248,1031.0,632.0,216.0,1.0,0.0,413.0,0.6129970902036858,4.334106792062808
1,PC - 3,Level A1,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1873.5,76.0,212.0,2.5,1798.0,45.5,0.040565785962103015,5.579854480242578
1,PC - 3,Level 6,Other Loc,Client Service Staff,Resigned,1,688,664.0,528.0,24.0,0.0,0.0,136.0,0.7951807228915663,3.915207019993566
1,PC - 4,Level 7,Other Loc,Client Service Staff,Resigned,1,2056,1725.0,957.0,328.0,3.0,0.0,789.0,0.5547826086956522,4.498381212482118
1,PC - 1,Level 7,Location 3,Client Service Staff,Resigned,1,2088,1839.0,1414.0,232.0,17.0,0.0,497.0,0.7688961392060902,4.49564330547513
1,PC - 1,Level 5,Location 3,Client Service Staff,Resigned,1,1488,1320.0,1157.0,168.0,0.0,0.0,164.0,0.8765151515151515,4.1670944646365085
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1936.0,1524.0,152.0,0.0,0.0,420.0,0.7871900826446281,5.330704942606625
1,PC - 2,Level 5,Location 7,Client Service Staff,Confirmed Staff,0,2088,1779.5,1560.0,256.0,52.5,0.0,281.5,0.8766507445911773,5.330704942606625
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1832.0,969.0,240.0,16.0,0.0,919.0,0.5289301310043668,5.245829825389981
1,PC - 1,Level 5,Location 3,Client Service Staff,Confirmed Staff,0,2088,1893.0,1236.0,192.0,3.0,337.0,320.0,0.652931854199683,5.245829825389981
1,PC - 4,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1940.5,1951.0,136.0,11.5,0.0,88.0,1.0054109765524348,5.160954708173337
1,PC - 4,Level 6,Location 3,Client Service Staff,Resigned,1,328,328.0,448.0,0.0,0.0,0.0,16.0,1.3658536585365855,3.3292949204980253
1,PC - 4,Level 5,Location 7,Client Service Staff,Resigned,1,872,776.0,8.0,24.0,72.0,452.0,340.0,0.010309278350515464,3.5045209689452896
1,PC - 3,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1860.0,1804.0,224.0,4.0,0.0,64.0,0.9698924731182795,4.999418194761015
1,PC - 3,Level A1,Location 1,Client Service Staff,Confirmed Staff,0,2088,1964.0,380.0,124.0,0.0,288.0,1318.0,0.1934826883910387,4.917280984551359
1,PC - 3,Level 7,Other Loc,Client Service Staff,Resigned,1,128,120.0,0.0,8.0,0.0,0.0,120.0,0.0,3.0007460796594043
1,PC - 3,Level 7,Other Loc,Client Service Staff,Resigned,1,160,160.0,64.0,0.0,0.0,0.0,104.0,0.4,3.0007460796594043
1,PC - 3,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1857.5,1691.5,224.0,6.5,0.0,282.0,0.9106325706594885,4.917280984551359
1,PC - 2,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1872.5,1660.0,164.0,51.5,21.0,341.5,0.8865153538050734,4.917280984551359
1,PC - 2,Level 7,Location 7,Client Service Staff,Confirmed Staff,0,2088,1885.5,1903.0,184.0,18.5,0.0,29.0,1.009281357730045,4.917280984551359
1,PC - 3,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1813.0,1687.5,264.0,11.0,0.0,275.5,0.9307777164920022,4.832405867334716
1,PC - 3,Level 7,Other Loc,Client Service Staff,Resigned,1,832,632.0,608.0,200.0,0.0,0.0,0.0,0.9620253164556962,3.252633524302347
1,PC - 1,Level 7,Location 3,Client Service Staff,Confirmed Staff,0,2088,1871.5,1112.0,208.0,8.5,0.0,796.0,0.5941757948169917,4.832405867334716
1,PC - 1,Level 6,Location 3,Client Service Staff,Confirmed Staff,0,2088,1803.0,1680.0,264.0,21.0,0.0,128.0,0.9317803660565723,4.832405867334716
1,PC - 4,Level 6,Location 3,Client Service Staff,Resigned,1,328,328.0,144.0,0.0,0.0,0.0,184.0,0.43902439024390244,3.0007460796594043
1,PC - 2,Level 7,Other Loc,Client Service Staff,Resigned,1,2000,1783.0,1697.0,208.0,9.0,0.0,136.0,0.9517666853617499,3.8330698097839107
1,PC - 2,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1738.0,1780.0,328.0,22.0,0.0,40.0,1.0241657077100115,4.832405867334716
1,PC - 2,Level 5,Location 7,Client Service Staff,Confirmed Staff,0,2088,1757.5,1500.5,284.0,46.5,0.0,297.5,0.8537695590327169,4.832405867334716
1,PC - 2,Level 6,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1679.5,1487.5,368.0,40.5,0.0,232.0,0.885680261982733,4.832405867334716
1,PC - 2,Level 6,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1862.5,1510.0,192.0,33.5,0.0,450.0,0.810738255033557,4.832405867334716
1,PC - 3,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1865.5,1798.0,216.0,6.5,0.0,231.5,0.9638166711337443,4.832405867334716
1,PC - 3,Level 6,Other Loc,Client Service Staff,Confirmed Staff,0,2088,1816.0,1384.0,272.0,0.0,0.0,462.0,0.762114537444934,4.832405867334716
1,PC - 3,Level 6,Location 1,Client Service Staff,Resigned,1,192,192.0,128.0,0.0,0.0,0.0,80.0,0.6666666666666666,3.0007460796594043
1,PC - 3,Level 5,Location 1,Client Service Staff,Confirmed Staff,0,2088,1805.0,1822.0,272.0,11.0,0.0,0.0,1.0094182825484765,4.832405867334716
1,PC - 3,Level 7,Location 1,Client Service Staff,Confirmed Staff,0,2088,1920.0,1904.0,152.0,16.0,0.0,24.0,0.9916666666666667,4.832405867334716
1,PC - 3,Level 6,Location 1,Client Service Staff,Confirmed Staff,0,2088,1791.5,1664.0,288.0,8.5,0.0,199.5,0.92883058889199,4.832405867334716
1,PC - 4,Level 6,Location 1,Client Service Staff,Resigned,1,2088,1913.5,666.0,160.0,14.5,0.0,1247.5,0.3480533054611968,3.915207019993566
1,PC - 3,Level 7,Location 1,Client Service Staff,Resigned,1,368,360.0,120.0,8.0,0.0,0.0,240.0,0.3333333333333333,3.0828832898690597
1,PC - 2,Level 6,Location 7,Client Service Staff,Confirmed Staff,0,2088,1842.0,1921.0,232.0,14.0,0.0,173.0,1.0428881650380022,4.832405867334716
